SPCODE,ORDER,SUBORDER,FAMILY,FAMILY NAMES,GENUS,SPECIES,COMMON NAME
EL,CARNIVORA,FISSIPEDA,MUSTELIDAE,SEA OTTERS & MARINE OTTERS,Enhydra,lutris,Sea Otter
HG,TRICHECHIDAE,,SIRENIA,MANATEES,Hydromalis,gigas,Stellar Sea Cow
HP,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Halichoerus,grypus,Gray seal
LK,CHELONIA,,CHELONIDAE,SEA TURTLES,Lepidochelys,kempii,Kemp's Ridley
LV,CHELONIA,,CHELONIDAE,SEA TURTLES,Lepidochelys,olivacea,Olive ridley
MA,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Mirounga,angustirostris,Northern elephant seal
ML,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Mirounga,leonina,Southern elephant seal
MS,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Monachus,schauinslandi,Hawaiian monk seal
ND,CHELONIA,,CHELONIDAE,SEA TURTLES,Natator,depresus,Flatback turtle
OB,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Otaria,byronia,South American sea lion
OR,CARNIVORA,PINNIPEDIA,ODOBENIDAE,WALRUS,Odobenus,rosmarus,Walrus
OS,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Ommatophoca,rossii,Ross seal
PC,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,caspica,Caspian seal
PF,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,fasciata,Ribbon seal
PG,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,groenlandica,Harp seal
PH,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,hispida,Ringed seal
PL,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,larga,Spotted seal
PU,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Unidentified pinniped,,Unidentified pinniped
PV,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Phoca,vitulina,Harbor seal
RT,ORECTOLOBIFORMES,,RHINCODONTIDAE,WHALE SHARKS,Rhincodon,typus,Whale shark
TH,CHELONIA,,,SEA TURTLES,T spp,,Hybrid Sea Turtle
TI,TRICHECHIDAE,,SIRENIA,MANATEES,Trichecus,inunguis,Amazon manatee
TM,TRICHECHIDAE,,SIRENIA,MANATEES,Trichecus,manatus,West Indian manatee
UA,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Unidentified fur seal,,Unidentified fur seal
UH,CHELONIA,,DERMOCHELYIDAE,SEA TURTLES,Unidentified hardshell sea turtle,,Unidentified hardshell sea turtle
UM,CARNIVORA,,URSIDAE,BEARS,Ursus,maritimus,Polar Bear
UO,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Unidentified sea lion,,Unidentified sea lion
US,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Unidentified seal,,Unidentified seal
UT,CHELONIA,,CHELONIDAE,SEA TURTLES,Unidentified sea turtle,,Unidentified sea turtle
UU,CETACEA,UNIDENTIFIED,UNIDENTIFIED,,Unid,,Unknown origin
ZC,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Zalophus,californianus,California sea lion
